2024-08-13 06:09:15 - Opened short position at 58569.0, TP: 58476.614, SL: 59174.94316842904
2024-08-13 06:09:15 - Opened short position at 58569.0, TP: 58476.614, SL: 59174.94316842904
2024-08-13 06:09:16 - Opened short position at 58566.3, TP: 58473.91580000001, SL: 59172.24316842904
2024-08-13 06:09:17 - Opened short position at 58557.8, TP: 58465.421466666674, SL: 59163.74316842904
2024-08-13 06:09:17 - Opened short position at 58557.7, TP: 58465.321533333336, SL: 59163.64316842904
2024-08-13 06:09:18 - Opened short position at 58555.0, TP: 58462.62333333334, SL: 59160.94316842904
2024-08-13 06:09:18 - Opened short position at 58555.0, TP: 58462.62333333334, SL: 59160.94316842904
2024-08-13 06:09:19 - Opened short position at 58553.5, TP: 58461.12433333333, SL: 59159.44316842904
2024-08-13 06:09:20 - Opened short position at 58553.6, TP: 58461.22426666667, SL: 59159.54316842904
2024-08-13 06:09:20 - Opened short position at 58553.6, TP: 58461.22426666667, SL: 59159.54316842904
2024-08-13 06:09:21 - Opened short position at 58553.5, TP: 58461.12433333333, SL: 59159.44316842904
2024-08-13 06:09:22 - Opened short position at 58553.5, TP: 58461.12433333333, SL: 59159.44316842904
2024-08-13 06:09:22 - Opened short position at 58553.6, TP: 58461.22426666667, SL: 59159.54316842904
2024-08-13 06:09:23 - Opened short position at 58553.5, TP: 58461.12433333333, SL: 59159.44316842904
2024-08-13 06:09:23 - Opened short position at 58555.6, TP: 58463.22293333334, SL: 59161.54316842904
2024-08-13 06:09:24 - Opened short position at 58559.6, TP: 58467.22026666667, SL: 59165.54316842904
2024-08-13 06:09:25 - Opened short position at 58559.7, TP: 58467.3202, SL: 59165.64316842904
2024-08-13 06:09:25 - Opened short position at 58563.3, TP: 58470.9178, SL: 59169.24316842904
2024-08-13 06:09:26 - Opened short position at 58569.9, TP: 58477.5134, SL: 59175.84316842904
2024-08-13 06:09:26 - Opened short position at 58569.9, TP: 58477.5134, SL: 59175.84316842904
2024-08-13 06:09:27 - Opened short position at 58569.9, TP: 58477.5134, SL: 59175.84316842904
2024-08-13 06:09:28 - Opened short position at 58569.9, TP: 58477.5134, SL: 59175.84316842904
2024-08-13 06:09:29 - Opened short position at 58566.9, TP: 58474.515400000004, SL: 59172.84316842904
2024-08-13 06:09:29 - Opened short position at 58566.9, TP: 58474.515400000004, SL: 59172.84316842904
2024-08-13 06:09:30 - Opened short position at 58572.1, TP: 58479.71193333333, SL: 59178.04316842904
2024-08-13 06:11:02 - Opened short position at 58613.0, TP: 58520.58466666667, SL: 59221.0110255719
2024-08-13 06:11:04 - Opened short position at 58613.0, TP: 58520.58466666667, SL: 59221.0110255719
2024-08-13 06:11:06 - Opened short position at 58612.9, TP: 58520.48473333334, SL: 59220.9110255719
2024-08-13 06:12:22 - Opened short position at 58622.1, TP: 58529.6786, SL: 59230.111025571896
2024-08-13 06:12:23 - Opened short position at 58622.1, TP: 58529.6786, SL: 59230.111025571896
2024-08-13 06:12:23 - Opened short position at 58621.9, TP: 58529.47873333334, SL: 59229.9110255719
